Cota|Titlul|Autori| ISBN|Editura|Locul aparitiei|An aparitie|Observatii
F5|Market Watch2004|Marcelina Joavina||Fin What||2004|
F4|Programarea distribuita in Internet|Boian Florian Mircea||microInformatica|Cluj-Napoca|2000|
F7|Retelele locale de calculatoare|Vasile Teodor|973-650-066-7|microInformatica|Cluj-Napoca|2004|
F8|Programarea dinamica a paginilor WEB cu active Server Pages|Trifu Bogdan|973-650-027-6|microInformatica|Cluj-Napoca|2001|
F9|Structuri de date si algoritmi-exemple in limbaje C si C++|Dorian Marius|973-650-059-4|microInformatica|Cluj-Napoca|2002|
F10|Distriburted Operating Systems|Andrew S. Tanenbaum|0 -13-219908-4|Prentice Hall||1995|
F11|Amesim-user manual||Imagine|2003|||
F12|Computers and Aplications|Daniel L. Slotnick|0 -669-08675-4|D. C. Heath and Company||1986|
F13|Computers Networks and Internets|Douglas E. Comer|0 -13-091449-5|Prentice Hall||2001|
F14|Operating Systems|William Stallings|0 -02-415481-4|Macmillan Publishing Company||1992|
F15|Programare in inteligenta artificiala Lisp si Prolog|Pop Horia |973-650-104-3|editura Albastra|Cluj-Napoca|2003|
F16|Sisteme de Timp-Real|Tiberiu Letia|973-9443-49-4|editura Albastra|Cluj-Napoca|2000|
F17|Comunicatii mobile evolutia spre 3G| Lazar Sorina|973-650-011-X|editura Albastra|Cluj-Napoca|2001|
F18|Bazele matematice ale sistemelor de calcul|Cocan Moise|973-9443-88-5|editura Albastra|Cluj-Napoca|2001|
F19|Limbajul C|Negrescu Liviu|973-650-043-8|editura Albastra|Cluj-Napoca|2001|
F20|Limbajul C++|Negrescu Liviu|973-650-043-8|editura Albastra|Cluj-Napoca|2001|
F21|Programarea dinamica a paginilor WEB cu FrontPage 2000|Kovacs Sandor|973-650-069-1|editura Albastra|Cluj-Napoca|2002|
F22|Limbaje formale si acceptori|Orman Gabriel|973-650-056-X|editura Albastra|Cluj-Napoca|2002|
F23|Power of Multimedia Comunication|Titu Bajenescu|973-650-060-8|editura Albastra|Cluj-Napoca|2002|
F24|CorelDraw 11- Tehnici de desenare aplicatii|Poenaru Codruta|973-650-103-5|editura Albastra|Cluj-Napoca|2003|
F25|Programarea matemaica folosind Ms Excel Solver, Managment Scientist, Mathlab|Cocan Moise|973-9443-10-9|editura Albastra|Cluj-Napoca|1999|
F26|Proiectarea aplicatiilor de tip Help sub Windows|Baciu Rodica|973-9215-31-9|editura Albastra|Cluj-Napoca|1996|
F27|Distriburted Systems|Andrew S. Tanenbaum|0 -13-088893-1|Prentice Hall||2002|
F28|Operating Systems|William Stallings|0 -13-887407-7|Prentice Hall||1998|
F29|Object-Oriented Client/Server Internet Environments|Amjad Umar|0 -13-375544-4|Prentice Hall||1997|
F30|Business Data 2/E Comunications|Jerry FitzGerald|0 -471-83727-X|John Wiley&Sons||1988|
F31|Sinix V5.40|||Siemens||1991|
F32|Computers organization and architecture|William Stallings|0 -13-081294-3|Prentice Hall||2000|
F33|The logical design of operating systems|Lubomir Bic|0 -13-504139-9|Prentice Hall||2000|
F34|Unix Nethwork Programming|W.Richard Stevens|0 -13-949876-1|Prentice Hall||1990|
F35|DCE Security Programming|Wei Hu|1 -56592-134-8|O’Reilly&Associates, Inc.||1996|
F36|Limbajul Pascal|Boian Florian|||Cluj-Napoca|1990|
F37|Nethwork Programming in Windows NT|Alok K. Sinha|0 -201-59056-5|Addison-Wesley||1996|
F38|Java for the Web with Servlets, JSP, and EJB|Budi Kurniawan|0 -7375-1159-X|New-Riders||2002|
F39|Operating Systems using Windows NT|Gary Nutt|0 -201-47708-4|Addison-Wesley||1999|
F40|Nethwork&Internet Security|Vijay Ahuja|0 -12-045595-1|Ap Professional||1996|
F41|ThreadTime|Scott J. Norton|0 -13-190067-6|Prentice Hall||1997|
F42|Part Development for OpenDoc|Bart Jacob|0 -13-263286-1|Prentice Hall|||
F43|Bazele informaticii|Boian Florian|||Cluj-Napoca|1990|
F44|Astronomie|Gheorghe Chis|973 -30-2444-9|Editura Didactica si Pedagogica||1965|
F45|Sinix V5.40|||Siemens||1991|
F46|Cryptography and coding|Henry J. Beker|0 -19-853623-2|Clarendon Press||1989|
F47|Programare concurenta pe platforme|Boian Florin ,Marian Corina  Federean,Boian Rares Florin, Radu Calin Dragos|973-650-072-1|editura Albastra|Cluj-Napoca|2002|
F48|Programare distribuita in Internet|Florin Boian|973-9443-60-5|editura Albastra|Cluj-Napoca|2000|

H1|Programarea in limbajul PL/I|Grigorescu Horea||Editura Academiei Republicii Socialiste Romania|Bucuresti|1973|
H2|Programarea in retele TCP/IP|Airinei Radu-Daniel|||Cluj-Napoca|2004|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H3|Aplicatii distribuite folosind tehnologia EJB|Dorutiu Doriana Lucia|||Cluj-Napoca|2004|Lucrare de licenta, Conducator stiintific Profesor Doctor Florian Mircea Boian
H4|Asociatia Caritas Mitropolitan Creco-Catolic, Blaj, Prezentare pe Web|Ardelean Mariana|||Blaj|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H5|Sisteme de culegere si validare a datelor prin Web|Bora Radu-Vasile|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H6|Gestionarea memoriei|Muntean I. Camelia|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H7|Sistem de instruire Web, folosit in licee|Gyarmati Denes|||Cluj-Napoca|2004|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H8|Tehnici de data-mining in filtrarea postei electronice||||Cluj-Napoca|2004|Lucrare de licenta, Conducator stiintific Profesor Doctor Florian Mircea Boian
H9|Implementarea CORBA in Java. Gestiunea on-line a Proiectelor de Laborator|Marcu Corina||||2004|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H10|Implementarea EJB in J2EE|Racolta Adina Mihaela|||Cluj-Napoca|2003|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H11|Internetul si sisteme de consultare a notei|Madarasz Kinga|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H12|Utilizarea Java Script la achizitii de date|Lupu Tudor Victor|||Cluj-Napoca|2004|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H13|NCSA Telnet||||Urbana-Champaign|1991|Univesity of Illinois at Urbana-Champaign
H14|Baze si banci de date||||||Notite
H15|Sisteme de operare pentru calculatoare numerice|Boian Mircea Florian|||||Notite
H16|Structuri si baze de date|Boian Mircea Florian|||||Notite
H17|Sabloane de proiectare pentru Enterprise Java Beans|Tomoioaga Andreea|||Cluj-Napoca|2004|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H18|Tehnologii pentru aplicatiile Web: Jakarta Struts|Moldovan Sorin Lucian|||Cluj-Napoca|2004|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H19|Aplicatii client-server in Java: Tehnologia RMI|Nicolau Diana-Elena|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H20|Interactiuni Web prin tehologia servlet|Puskas Laszlo|||Cluj-Napoca||Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H21|Utilizarea XHTML pentru paginile Web actuale|Curean Dorina|||Cluj-Napoca||Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H22|Aplicatii client server si comunicatii Peer-to-Peer pe platforma Java|Dragan Laura Catalina|||Cluj-Napoca|2004|Lucrare de licenta, Conducator stiintific Profesor Doctor Florian Mircea Boian
H23|Alocarea dinamica de memorie|Lupsor Leontin|||Sighisoara|2004|Lucrare metodico-stiintifica pentru obtinerea gradului didactic I
H24|Introduction to System Software|Rus Teodor|||Iowa|1988|Curs
H25|Microsoft Computer Documentation||||New-York|1984|Reference Manual
H26|||||||Descriere instructiuni
H27|||||Florida|1984|Descriere instructiuni
H28|Advances MS-DOS|Duncan Ray|0-914845-77-2|Microsoft Press|USA|1986|Carte
H29|Turbo Pascal 6.0||||USA|1983|Programme Guide
H30|Microsoft Works|||Microsoft Corporation|Washington|1989|Reference Manual
H31|Limbajul C Ansi|Antal Tiberiu Alexandru|973-656-065-1|Risoprint|Cluj-Napoca|2001|Carte

H32|Microsoft Windows 3.1|Iurian Marius,Iurian Simona,Mihoc Cristian,Pop Dragos|973-961-0-0|Promedia|Cluj-Napoca|1993|
H33|Programare Pascal|Boian Florian,Cioban V.,Frentiu M,Groze S,Iacob E,Iurian S,Kasa Z,Motogna S,Parv B,Pop H.,Prejmerean V,Robu J,Toadere T|973-96862-1-4|Promedia Plus Computers|Cluj Napoca|1995|
H34|Totul despre...Microprocesorul Z80|Patrubany Miklos|973-31-0009-9|Tehnica|Bucuresti|1989|
H35|Totul despre...Microprocesorul Z80|Patrubany Miklos|973-31-0008-0|Tehnica|Bucuresti|1989| 
H36|Initiation a dBase III dBase III plus|Delannoy Claude|2-212-08312|Eyrolles|Franta|1993|
H37|Francais 4 nouveau programme lire,observer,s'exprimer|Lagarde Andre,Michard Laurent|2-04-010449-6|Bodas|Paris|1979|
H38|Aspecte ale elaborarii algoritmilor distribuiti|Barsan Corneliu||Tempul||1996|
H39|Aspecte ale elaborarii algoritmilor distribuiti|Barsan Corneliu||Tempul||1996|
H40|Aspecte ale elaborarii algoritmilor distribuiti|Barsan Corneliu||Tempul||1996|
H41|Programarea microcalculatoarelor|Athanasiu Irina||Institutul Politehnic|Bucuresti|1989|
H42|dBase II, III,III+IV|Dumitrascu Liviu,Sperlea Traian,Marinoiu Cristian|973-31-0340-3|Tehnica|Bucuresti|1991|
H43|Sistemul Felix C~256.Limbajul Assiris|Teodorescu Al.,Popescu C.,Catona I.||Academia Republicii Socialiste Romanania|Bucuresti|1974|
H44|Element de programation avec pascal|Guerin Gerard,Tremblay Richard|2-7605-0657-6|Press de l'Universite du Quebec|Sillery|1992|
H45|Cea mai buna aproximare in spatii vectoriale normate prin elemente de subspatii vectoriale|Singer Ivan||Academia Republicii Socialiste Romanania|Bucuresti|1967|
H46|AppliedC The IBM Microcomputers|Godfrey J.Terry|0-13-039686-9|Prentice Hall|New Jersey||
H47|Aplicatii ale matematicii in practica|Cerches Mihu||Didactica si Pedagogica|Bucuresti|1975|
H48|Limbaje formale si tehnici de compilare|Simovici Dan||Didactica si Pedagogica|Bucuresti|1978|
H49|Probleme de analiza numerica|Marinescu Gh, Badea L.,Grigore G.,Jambor C.,Mazilu P.,Rizzoli I.,Stefan C.||Didactica si Pedagogica|Bucuresti|1978|
H50|Ce este si ce va ofera calculatorul IBM PC|Caprariu Vlad,Chiorean Marius,Enyedu Andrei,Muntean Marius||Romanian Software Comp|Cluj Napoca|1990|
H51|Sistemul de operare DOS.Functii sistem|Caprariu Vlad|973-96980-2-6|Albastra|Cluj Napoca|1995|
H52|Informatica pentru elevi|Boian Florian,Chioreanu Ioana,Coman Gh.,Frentiu M,Groze S,Kasa Z,Toadere T,Tambulea Leon|973-95718-4-0|Microinformatica|Cluj Napoca|1992|
H53|Microcalculatorul coral si sitemul de operare MIX|Boian Florian, Chiorean Danut,Damian Sergiu,Moldovan Grigore,Parpucea Ilie|||Cluj Napoca|1986|
H54|Programare geometrica si aplicatii|Mariusciac Ioan||Dacia|Cluj Napoca|1978|
H55|Matematica si viata|Stoilou S||Academia Republicii Socialiste Romania|Bucuresti|1972|
H56|Teoria categoriilor si a fascicolelor|Popescu Nicolae,Radu Alexandru||Stiintifica|Bucuresti|1971|
H57|Metode de rezolvare a problemelor de programare liniara|Mariusciac Ioan||Dacia|Cluj Napoca|1973|
H58|Programarea in timp a fabricatiei|Nemeti Ladislau||Dacia|Cluj Napoca|1975|
H59|Introducere in teoria problemelor de optimizare convexa cu restrictii|Breckner Wolfgang||Dacia|Cluj Napoca|1977|
H60|Metode euristice de ordonantare a fabricatiei|Nemeti Ladislau||Dacia|Cluj Napoca|1977|
H61|Microsoft MSDOS|||Microsoft Corporation||1991|
H62|1-2-3 Windows|Henri Lilen|2-10-001-403-X|Dunod Tech|Paris|1992|guide
H63|A Constructive Introduction to Finite Elements Method|Gheorghiu Calin Ioan|973-99137-0-9|Quo Vadis||1991|
H64|Exercitii si probleme de algebra, combinatorica si teoria numerelor|Popescu Dragos,Oboroceanu George||Didactica si Pedagogica|Bucuresti|1979|

H1|Programarea in limbajul PL/I|Grigorescu Horea||Editura Academiei Republicii Socialiste Romania|Bucuresti|1973|
H2|Programarea in retele TCP/IP|Airinei Radu-Daniel|||Cluj-Napoca|2004|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
